call_id,case_id,caller,callee,duration,cell_tower,timestamp
CDR-001,case-101,9876543210,9876543211,340,Central Station Tower,2026-08-01T10:15:00
CDR-002,case-101,9876543210,9876543212,120,Central Station Tower,2026-08-01T11:00:00
CDR-003,case-101,9876543212,9876543214,450,Anna Nagar Tower,2026-08-03T14:40:00
CDR-004,case-101,9876543214,9876543210,180,T Nagar Tower,2026-08-05T16:10:00
CDR-005,case-203,9876543210,9876543220,290,Harbour Gate 4 Tower,2026-06-10T09:30:00
CDR-006,case-203,9876543220,9876543221,510,Royapuram Tower,2026-06-15T19:00:00
CDR-007,case-301,9876543210,9876543230,600,Velachery Tower,2026-05-12T13:45:00
CDR-008,case-301,9876543230,9876543231,420,Guindy Tower,2026-05-20T17:15:00
CDR-009,case-205,9876543210,9876543240,310,Mount Road Tower,2026-07-10T11:20:00
CDR-010,case-205,9876543240,9876543241,480,Nungambakkam Tower,2026-07-18T14:30:00
CDR-011,case-412,9876543210,9876543250,190,Tambaram Tower,2026-04-14T08:45:00
CDR-012,case-412,9876543250,9876543251,240,Tambaram Tower,2026-04-22T19:20:00
